County,PopJuly15
Alamance,157522
Alexander,37952
Alleghany,11190
Anson,26155
Ashe,27332
Avery,17816
Beaufort,47829
Bertie,20533
Bladen,35011
Brunswick,123535
Buncombe,254836
Burke,89114
Cabarrus,195714
Caldwell,82577
Camden,10224
Carteret,69826
Caswell,23606
Catawba,155828
Chatham,71815
Cherokee,27770
Chowan,14541
Clay,11036
Cleveland,97871
Columbus,57206
Craven,103691
Cumberland,328860
Currituck,25627
Dare,36001
Davidson,165193
Davie,41743
Duplin,59868
Durham,297219
Edgecombe,54367
Forsyth,366543
Franklin,64206
Gaston,212636
Gates,11739
Graham,8761
Granville,58547
Greene,21158
Guilford,517124
Halifax,52423
Harnett,127127
Haywood,60631
Henderson,112511
Hertford,24426
Hoke,51776
Hyde,5631
Iredell,170230
Jackson,41597
Johnston,184519
Jones,10423
Lee,58908
Lenoir,58338
Lincoln,81397
Macon,34771
Madison,21663
Martin,23746
McDowell,45370
Mecklenburg,1035605
Mitchell,15335
Montgomery,27826
Moore,94492
Nash,94370
New Hanover,220231
Northampton,21073
Onslow,194636
Orange,140144
Pamlico,13174
Pasquotank,39731
Pender,57941
Perquimans,13648
Person,39574
Pitt,175532
Polk,20828
Randolph,142943
Richmond,45353
Robeson,133375
Rockingham,92084
Rowan,140122
Rutherford,67617
Sampson,63993
Scotland,35821
Stanly,61234
Stokes,46763
Surry,73195
Swain,14953
Transylvania,33745
Tyrrell,4217
Union,219992
Vance,45097
Wake,1007631
Warren,20473
Washington,12589
Watauga,53737
Wayne,124984
Wilkes,69663
Wilson,81689
Yadkin,37705
Yancey,17959
STATE,10056683