,X,contest,candidate_count,year,contested,choice,party,district
438,57,NC STATE SENATE DISTRICT 4,1,2008,No,Edward (Ed) Jones,DEM,4
439,58,NC STATE SENATE DISTRICT 40,2,2008,Yes,Malcolm Graham,DEM,40
440,59,NC STATE SENATE DISTRICT 40,2,2008,Yes,Mr. Ed Mulheren,REP,40
441,60,NC STATE SENATE DISTRICT 41,1,2008,No,James (Jim) Forrester,REP,41
442,61,NC STATE SENATE DISTRICT 42,1,2008,No,Austin Allran,REP,42
443,62,NC STATE SENATE DISTRICT 43,2,2008,Yes,Kathy Harrington,REP,43
444,63,NC STATE SENATE DISTRICT 43,2,2008,Yes,David Hoyle,DEM,43
445,64,NC STATE SENATE DISTRICT 44,3,2008,Yes,Jim Jacumin,REP,44
446,65,NC STATE SENATE DISTRICT 44,3,2008,Yes,Richard C. Evey,LIB,44
447,66,NC STATE SENATE DISTRICT 44,3,2008,Yes,Jim Cates,DEM,44
448,67,NC STATE SENATE DISTRICT 45,2,2008,Yes,Steve Goss,DEM,45
449,68,NC STATE SENATE DISTRICT 45,2,2008,Yes,Jerry Butler,REP,45
450,69,NC STATE SENATE DISTRICT 46,2,2008,Yes,Keith H. Melton,DEM,46
451,70,NC STATE SENATE DISTRICT 46,2,2008,Yes,Debbie Ann Clary,REP,46
452,71,NC STATE SENATE DISTRICT 47,2,2008,Yes,Keith W. Presnell,REP,47
453,72,NC STATE SENATE DISTRICT 47,2,2008,Yes,Joe Sam Queen,DEM,47
454,73,NC STATE SENATE DISTRICT 48,1,2008,No,Tom Apodaca,REP,48
455,74,NC STATE SENATE DISTRICT 49,2,2008,Yes,Martin Nesbitt,DEM,49
456,75,NC STATE SENATE DISTRICT 49,2,2008,Yes,R L Clark,REP,49
457,76,NC STATE SENATE DISTRICT 5,2,2008,Yes,Don Davis,DEM,5
458,77,NC STATE SENATE DISTRICT 5,2,2008,Yes,"Louis M. Pate, Jr.",REP,5
459,78,NC STATE SENATE DISTRICT 50,2,2008,Yes,"John J. Snow, Jr.",DEM,50
460,79,NC STATE SENATE DISTRICT 50,2,2008,Yes,Susan C. Pons,REP,50
461,80,NC STATE SENATE DISTRICT 6,1,2008,No,Harry Brown,REP,6
462,81,NC STATE SENATE DISTRICT 7,3,2008,Yes,Chuck Stires,REP,7
463,82,NC STATE SENATE DISTRICT 7,3,2008,Yes,Kira Howe,LIB,7
464,83,NC STATE SENATE DISTRICT 7,3,2008,Yes,Doug Berger,DEM,7
465,84,NC STATE SENATE DISTRICT 8,3,2008,Yes,Rachel Joiner Merrill,LIB,8
466,85,NC STATE SENATE DISTRICT 8,3,2008,Yes,"R.C. Soles, Jr.",DEM,8
467,86,NC STATE SENATE DISTRICT 8,3,2008,Yes,Bettie Fennell,REP,8
468,87,NC STATE SENATE DISTRICT 9,2,2008,Yes,Michael Lee,REP,9
469,88,NC STATE SENATE DISTRICT 9,2,2008,Yes,Julia Boseman,DEM,9
470,1,NC STATE SENATE DISTRICT 1,2,2010,Yes,Hood Richardson,REP,1
471,2,NC STATE SENATE DISTRICT 1,2,2010,Yes,Marc Basnight,DEM,1
472,3,NC STATE SENATE DISTRICT 10,2,2010,Yes,Dewey Hudson,DEM,10
473,4,NC STATE SENATE DISTRICT 10,2,2010,Yes,Brent Jackson,REP,10
474,5,NC STATE SENATE DISTRICT 11,2,2010,Yes,E.S. (Buck) Newton,REP,11
475,6,NC STATE SENATE DISTRICT 11,2,2010,Yes,A. B. Swindell,DEM,11
476,7,NC STATE SENATE DISTRICT 12,2,2010,Yes,Jody McLeod,DEM,12
477,8,NC STATE SENATE DISTRICT 12,2,2010,Yes,David Rouzer,REP,12
478,9,NC STATE SENATE DISTRICT 13,1,2010,No,Michael Walters,DEM,13
479,10,NC STATE SENATE DISTRICT 14,2,2010,Yes,Geoffrey M. Hurlburt,REP,14
480,11,NC STATE SENATE DISTRICT 14,2,2010,Yes,Dan Blue,DEM,14
481,12,NC STATE SENATE DISTRICT 15,2,2010,Yes,Charles Malone,DEM,15
482,13,NC STATE SENATE DISTRICT 15,2,2010,Yes,Neal Hunt,REP,15
483,14,NC STATE SENATE DISTRICT 16,3,2010,Yes,Michael Beezley,REP,16
484,15,NC STATE SENATE DISTRICT 16,3,2010,Yes,Josh Stein,DEM,16
485,16,NC STATE SENATE DISTRICT 16,3,2010,Yes,Stephanie E. Watson,LIB,16
486,17,NC STATE SENATE DISTRICT 17,2,2010,Yes,David Donovan,DEM,17
487,18,NC STATE SENATE DISTRICT 17,2,2010,Yes,Richard Stevens,REP,17
488,19,NC STATE SENATE DISTRICT 18,2,2010,Yes,Roger Gerber,REP,18
489,20,NC STATE SENATE DISTRICT 18,2,2010,Yes,Bob Atwater,DEM,18
490,21,NC STATE SENATE DISTRICT 19,2,2010,Yes,Wesley Meredith,REP,19
491,22,NC STATE SENATE DISTRICT 19,2,2010,Yes,Margaret Highsmith Dickson,DEM,19
492,23,NC STATE SENATE DISTRICT 2,2,2010,Yes,Jean R. Preston,REP,2
493,24,NC STATE SENATE DISTRICT 2,2,2010,Yes,Barbara Garrity-Blake,DEM,2
494,25,NC STATE SENATE DISTRICT 20,2,2010,Yes,John Tarantino,REP,20
495,26,NC STATE SENATE DISTRICT 20,2,2010,Yes,"Floyd B. McKissick, Jr.",DEM,20
496,27,NC STATE SENATE DISTRICT 21,2,2010,Yes,Wade Fowler,REP,21
497,28,NC STATE SENATE DISTRICT 21,2,2010,Yes,Eric L. Mansfield,DEM,21
498,29,NC STATE SENATE DISTRICT 22,1,2010,No,Harris D. Blake,REP,22
499,30,NC STATE SENATE DISTRICT 23,2,2010,Yes,Ryan A. Hilliard,REP,23
500,31,NC STATE SENATE DISTRICT 23,2,2010,Yes,Ellie Kinnaird,DEM,23
501,32,NC STATE SENATE DISTRICT 24,3,2010,Yes,Tony Foriest,DEM,24
502,33,NC STATE SENATE DISTRICT 24,3,2010,Yes,Barry Coe,LIB,24
503,34,NC STATE SENATE DISTRICT 24,3,2010,Yes,Rick Gunn,REP,24
504,35,NC STATE SENATE DISTRICT 25,2,2010,Yes,Bill Purcell,DEM,25
505,36,NC STATE SENATE DISTRICT 25,2,2010,Yes,P. Jason Phibbs,REP,25
506,37,NC STATE SENATE DISTRICT 26,1,2010,No,Philip E. (Phil) Berger,REP,26
507,38,NC STATE SENATE DISTRICT 27,2,2010,Yes,Donald R. (Don) Vaughan,DEM,27
508,39,NC STATE SENATE DISTRICT 27,2,2010,Yes,Jeffery T. (Jeff) Hyde,REP,27
509,40,NC STATE SENATE DISTRICT 28,3,2010,Yes,Gladys A. Robinson,DEM,28
510,41,NC STATE SENATE DISTRICT 28,3,2010,Yes,Bruce Davis,UNA,28
511,42,NC STATE SENATE DISTRICT 28,3,2010,Yes,Trudy Wade,REP,28
512,43,NC STATE SENATE DISTRICT 29,1,2010,No,Jerry W. Tillman,REP,29
513,44,NC STATE SENATE DISTRICT 3,2,2010,Yes,Clark Jenkins,DEM,3
514,45,NC STATE SENATE DISTRICT 3,2,2010,Yes,C. B. Daughtridge,REP,3
515,46,NC STATE SENATE DISTRICT 30,2,2010,Yes,Ric Marshall,DEM,30
516,47,NC STATE SENATE DISTRICT 30,2,2010,Yes,Don W. East,REP,30
517,48,NC STATE SENATE DISTRICT 31,1,2010,No,Peter Samuel (Pete) Brunstetter,REP,31
518,49,NC STATE SENATE DISTRICT 32,2,2010,Yes,Nathan Jones,REP,32
519,50,NC STATE SENATE DISTRICT 32,2,2010,Yes,Linda Garrou,DEM,32
520,51,NC STATE SENATE DISTRICT 33,1,2010,No,Stan Bingham,REP,33
521,52,NC STATE SENATE DISTRICT 34,1,2010,No,Andrew C. Brock,REP,34
522,53,NC STATE SENATE DISTRICT 35,2,2010,Yes,Tommy Tucker,REP,35
523,54,NC STATE SENATE DISTRICT 35,2,2010,Yes,Ed McGuire,DEM,35
524,55,NC STATE SENATE DISTRICT 36,2,2010,Yes,Mike Helms,DEM,36
525,56,NC STATE SENATE DISTRICT 36,2,2010,Yes,"Fletcher L. Hartsell, Jr.",REP,36
526,57,NC STATE SENATE DISTRICT 37,2,2010,Yes,Daniel (Dan) Clodfelter,DEM,37
527,58,NC STATE SENATE DISTRICT 37,2,2010,Yes,C. Morgan Edwards,REP,37
528,59,NC STATE SENATE DISTRICT 38,2,2010,Yes,Cedric Scott,REP,38
529,60,NC STATE SENATE DISTRICT 38,2,2010,Yes,Charlie Dannelly,DEM,38
530,61,NC STATE SENATE DISTRICT 39,1,2010,No,Robert (Bob) Rucho,REP,39
531,62,NC STATE SENATE DISTRICT 4,2,2010,Yes,Rich Halbert,REP,4
532,63,NC STATE SENATE DISTRICT 4,2,2010,Yes,Edward (Ed) Jones,DEM,4
533,64,NC STATE SENATE DISTRICT 40,2,2010,Yes,John Aneralla,REP,40
534,65,NC STATE SENATE DISTRICT 40,2,2010,Yes,Malcolm Graham,DEM,40
535,66,NC STATE SENATE DISTRICT 41,1,2010,No,James (Jim) Forrester,REP,41
536,67,NC STATE SENATE DISTRICT 42,1,2010,No,Austin Allran,REP,42
537,68,NC STATE SENATE DISTRICT 43,2,2010,Yes,Kathy Harrington,REP,43
538,69,NC STATE SENATE DISTRICT 43,2,2010,Yes,Jim Long,DEM,43
539,70,NC STATE SENATE DISTRICT 44,3,2010,Yes,Warren T. Daniel,REP,44
540,71,NC STATE SENATE DISTRICT 44,3,2010,Yes,Beth Jones,DEM,44
541,72,NC STATE SENATE DISTRICT 44,3,2010,Yes,Richard C. Evey,LIB,44
542,73,NC STATE SENATE DISTRICT 45,2,2010,Yes,Dan Soucek,REP,45
543,74,NC STATE SENATE DISTRICT 45,2,2010,Yes,Steve Goss,DEM,45
544,75,NC STATE SENATE DISTRICT 46,1,2010,No,Debbie Ann Clary,REP,46
545,76,NC STATE SENATE DISTRICT 47,2,2010,Yes,"Ralph E. Hise, Jr.",REP,47
546,77,NC STATE SENATE DISTRICT 47,2,2010,Yes,Joe Sam Queen,DEM,47
547,78,NC STATE SENATE DISTRICT 48,2,2010,Yes,Tom Apodaca,REP,48
548,79,NC STATE SENATE DISTRICT 48,2,2010,Yes,Chris Dixon,DEM,48
549,80,NC STATE SENATE DISTRICT 49,2,2010,Yes,Martin L. Nesbitt,DEM,49
550,81,NC STATE SENATE DISTRICT 49,2,2010,Yes,R L Clark,REP,49
551,82,NC STATE SENATE DISTRICT 5,2,2010,Yes,"Louis M. Pate, Jr.",REP,5
552,83,NC STATE SENATE DISTRICT 5,2,2010,Yes,Don Davis,DEM,5
553,84,NC STATE SENATE DISTRICT 50,2,2010,Yes,Jim Davis,REP,50
554,85,NC STATE SENATE DISTRICT 50,2,2010,Yes,"John J. Snow, Jr.",DEM,50
555,86,NC STATE SENATE DISTRICT 6,1,2010,No,Harry Brown,REP,6
556,87,NC STATE SENATE DISTRICT 7,2,2010,Yes,Doug Berger,DEM,7
557,88,NC STATE SENATE DISTRICT 7,2,2010,Yes,Michael Schriver,REP,7
558,89,NC STATE SENATE DISTRICT 8,2,2010,Yes,Bill Rabon,REP,8
559,90,NC STATE SENATE DISTRICT 8,2,2010,Yes,David Redwine,DEM,8
560,91,NC STATE SENATE DISTRICT 9,2,2010,Yes,Thom Goolsby,REP,9
561,92,NC STATE SENATE DISTRICT 9,2,2010,Yes,Jim Leutze,DEM,9
562,1,NC STATE SENATE DISTRICT 1,2,2012,Yes,Stan M. White,DEM,1
563,2,NC STATE SENATE DISTRICT 1,2,2012,Yes,Bill Cook,REP,1
564,3,NC STATE SENATE DISTRICT 10,1,2012,No,Brent Jackson,REP,10
565,4,NC STATE SENATE DISTRICT 11,2,2012,Yes,Clarence A. Bender,DEM,11
566,5,NC STATE SENATE DISTRICT 11,2,2012,Yes,Buck Newton,REP,11
567,6,NC STATE SENATE DISTRICT 12,2,2012,Yes,Ronald Rabin,REP,12
568,7,NC STATE SENATE DISTRICT 12,2,2012,Yes,Brad Salmon,DEM,12
569,8,NC STATE SENATE DISTRICT 13,2,2012,Yes,Michael Walters,DEM,13
570,9,NC STATE SENATE DISTRICT 13,2,2012,Yes,"W. Bernard White, Jr.",REP,13
571,10,NC STATE SENATE DISTRICT 14,1,2012,No,Dan Blue,DEM,14
572,11,NC STATE SENATE DISTRICT 15,2,2012,Yes,Neal Hunt,REP,15
573,12,NC STATE SENATE DISTRICT 15,2,2012,Yes,Sig Hutchinson,DEM,15
574,13,NC STATE SENATE DISTRICT 16,1,2012,No,Josh Stein,DEM,16
575,14,NC STATE SENATE DISTRICT 17,2,2012,Yes,Tamara Barringer,REP,17
576,15,NC STATE SENATE DISTRICT 17,2,2012,Yes,Erv Portman,DEM,17
577,16,NC STATE SENATE DISTRICT 18,2,2012,Yes,Chad Barefoot,REP,18
578,17,NC STATE SENATE DISTRICT 18,2,2012,Yes,Doug Berger,DEM,18
579,18,NC STATE SENATE DISTRICT 19,2,2012,Yes,Wesley Meredith,REP,19
580,19,NC STATE SENATE DISTRICT 19,2,2012,Yes,George Tatum,DEM,19
581,20,NC STATE SENATE DISTRICT 2,2,2012,Yes,Greg Muse,DEM,2
582,21,NC STATE SENATE DISTRICT 2,2,2012,Yes,Norman Sanderson,REP,2
583,22,NC STATE SENATE DISTRICT 20,1,2012,No,"Floyd B. McKissick, Jr.",DEM,20
584,23,NC STATE SENATE DISTRICT 21,1,2012,No,Robert B. Clark III,DEM,21
585,24,NC STATE SENATE DISTRICT 22,2,2012,Yes,Milton Holmes,REP,22
586,25,NC STATE SENATE DISTRICT 22,2,2012,Yes,Mike Woodard,DEM,22
587,26,NC STATE SENATE DISTRICT 23,2,2012,Yes,Ellie Kinnaird,DEM,23
588,27,NC STATE SENATE DISTRICT 23,2,2012,Yes,Dave Carter,REP,23
589,28,NC STATE SENATE DISTRICT 24,2,2012,Yes,Brandon Black,LIB,24
590,29,NC STATE SENATE DISTRICT 24,2,2012,Yes,Rick Gunn,REP,24
591,30,NC STATE SENATE DISTRICT 25,2,2012,Yes,Gene McIntyre,REP,25
592,31,NC STATE SENATE DISTRICT 25,2,2012,Yes,Gene McLaurin,DEM,25
593,32,NC STATE SENATE DISTRICT 26,2,2012,Yes,Philip E. (Phil) Berger,REP,26
594,33,NC STATE SENATE DISTRICT 26,2,2012,Yes,Bobby R. Stanley,DEM,26
595,34,NC STATE SENATE DISTRICT 27,2,2012,Yes,Trudy Wade,REP,27
596,35,NC STATE SENATE DISTRICT 27,2,2012,Yes,Myra Slone,DEM,27
597,36,NC STATE SENATE DISTRICT 28,1,2012,No,Gladys A. Robinson,DEM,28
598,37,NC STATE SENATE DISTRICT 29,1,2012,No,Jerry W. Tillman,REP,29
599,38,NC STATE SENATE DISTRICT 3,1,2012,No,Clark Jenkins,DEM,3
600,39,NC STATE SENATE DISTRICT 30,2,2012,Yes,Ric Marshall,DEM,30
601,40,NC STATE SENATE DISTRICT 30,2,2012,Yes,Shirley Randleman (replacement for Don W. East),REP,30
602,41,NC STATE SENATE DISTRICT 31,2,2012,Yes,Peter Samuel (Pete) Brunstetter,REP,31
603,42,NC STATE SENATE DISTRICT 31,2,2012,Yes,Delmas Parker,DEM,31
604,43,NC STATE SENATE DISTRICT 32,2,2012,Yes,Reginald Reid,REP,32
605,44,NC STATE SENATE DISTRICT 32,2,2012,Yes,Earline W. Parmon,DEM,32
606,45,NC STATE SENATE DISTRICT 33,1,2012,No,Stan Bingham,REP,33
607,46,NC STATE SENATE DISTRICT 34,1,2012,No,Andrew C. Brock,REP,34
608,47,NC STATE SENATE DISTRICT 35,1,2012,No,Tommy Tucker,REP,35
609,48,NC STATE SENATE DISTRICT 36,1,2012,No,"Fletcher L. Hartsell, Jr.",REP,36
610,49,NC STATE SENATE DISTRICT 37,2,2012,Yes,Michael Alan Vadini,REP,37
611,50,NC STATE SENATE DISTRICT 37,2,2012,Yes,Daniel (Dan) Clodfelter,DEM,37
612,51,NC STATE SENATE DISTRICT 38,2,2012,Yes,Joel Ford,DEM,38
613,52,NC STATE SENATE DISTRICT 38,2,2012,Yes,Richard Rivette,REP,38
614,53,NC STATE SENATE DISTRICT 39,2,2012,Yes,Jack Flynn,DEM,39
615,54,NC STATE SENATE DISTRICT 39,2,2012,Yes,Robert (Bob) Rucho,REP,39
616,55,NC STATE SENATE DISTRICT 4,2,2012,Yes,Ed Jones,DEM,4
617,56,NC STATE SENATE DISTRICT 4,2,2012,Yes,Warren Scott Nail,REP,4
618,57,NC STATE SENATE DISTRICT 40,2,2012,Yes,Earl Lyndon Philip,REP,40
619,58,NC STATE SENATE DISTRICT 40,2,2012,Yes,Malcolm Graham,DEM,40
620,59,NC STATE SENATE DISTRICT 41,1,2012,No,Jeff Tarte,REP,41
621,60,NC STATE SENATE DISTRICT 42,2,2012,Yes,Austin Allran,REP,42
622,61,NC STATE SENATE DISTRICT 42,2,2012,Yes,Joseph (Jody) Inglefield,DEM,42
623,62,NC STATE SENATE DISTRICT 43,1,2012,No,Kathy Harrington,REP,43
624,63,NC STATE SENATE DISTRICT 44,2,2012,Yes,David Curtis,REP,44
625,64,NC STATE SENATE DISTRICT 44,2,2012,Yes,Ross Bulla,DEM,44
626,65,NC STATE SENATE DISTRICT 45,2,2012,Yes,Dan Soucek,REP,45
627,66,NC STATE SENATE DISTRICT 45,2,2012,Yes,Roy J. Carter,DEM,45
628,67,NC STATE SENATE DISTRICT 46,3,2012,Yes,Richard C. Evey,LIB,46
629,68,NC STATE SENATE DISTRICT 46,3,2012,Yes,Warren Daniel,REP,46
630,69,NC STATE SENATE DISTRICT 46,3,2012,Yes,John T. McDevitt,DEM,46
631,70,NC STATE SENATE DISTRICT 47,2,2012,Yes,Phil Feagan,DEM,47
632,71,NC STATE SENATE DISTRICT 47,2,2012,Yes,Ralph Hise,REP,47
633,72,NC STATE SENATE DISTRICT 48,1,2012,No,Tom Apodaca,REP,48
634,73,NC STATE SENATE DISTRICT 49,2,2012,Yes,RL Clark,REP,49
635,74,NC STATE SENATE DISTRICT 49,2,2012,Yes,Martin L. Nesbitt,DEM,49
636,75,NC STATE SENATE DISTRICT 5,1,2012,No,Don Davis,DEM,5
637,76,NC STATE SENATE DISTRICT 50,2,2012,Yes,Jim Davis,REP,50
638,77,NC STATE SENATE DISTRICT 50,2,2012,Yes,John Snow,DEM,50
639,78,NC STATE SENATE DISTRICT 6,1,2012,No,Harry Brown,REP,6
640,79,NC STATE SENATE DISTRICT 7,1,2012,No,"Louis M. Pate, Jr.",REP,7
641,80,NC STATE SENATE DISTRICT 8,2,2012,Yes,Danny Hefner,DEM,8
642,81,NC STATE SENATE DISTRICT 8,2,2012,Yes,Bill Rabon,REP,8
643,82,NC STATE SENATE DISTRICT 9,2,2012,Yes,Deb Butler,DEM,9
644,83,NC STATE SENATE DISTRICT 9,2,2012,Yes,Thom Goolsby,REP,9