County,Election Date,Precinct,Contest Group ID,Contest Type,Contest Name,Choice,Choice Party,Vote For,Election Day,One Stop,Absentee by Mail,Provisional,Total Votes
ALAMANCE,11/04/2014,064,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,403,542,24,2,971
ALAMANCE,11/04/2014,12S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,176,75,0,2,253
ALAMANCE,11/04/2014,ABSENTEE BY MAIL,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,0,0,0,0,0
ALAMANCE,11/04/2014,03C,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,364,386,37,0,787
ALAMANCE,11/04/2014,09N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,252,202,9,0,463
ALAMANCE,11/04/2014,13,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,452,361,7,1,821
ALAMANCE,11/04/2014,04,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,370,263,16,0,649
ALAMANCE,11/04/2014,07,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,262,264,12,1,539
ALAMANCE,11/04/2014,12N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,631,433,22,3,1089
ALAMANCE,11/04/2014,063,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,332,246,17,1,596
ALAMANCE,11/04/2014,12E,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,176,102,8,0,286
ALAMANCE,11/04/2014,PROVISIONAL,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,0,0,0,0,0
ALAMANCE,11/04/2014,06N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,270,216,10,0,496
ALAMANCE,11/04/2014,06S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,272,304,17,0,593
ALAMANCE,11/04/2014,103,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,188,275,10,0,473
ALAMANCE,11/04/2014,1210,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,214,159,5,0,378
ALAMANCE,11/04/2014,124,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,265,228,13,0,506
ALAMANCE,11/04/2014,10S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,677,853,24,1,1555
ALAMANCE,11/04/2014,126,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,299,277,21,1,598
ALAMANCE,11/04/2014,129,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,169,166,19,0,354
ALAMANCE,11/04/2014,125,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,224,217,13,1,455
ALAMANCE,11/04/2014,127,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,665,415,19,1,1100
ALAMANCE,11/04/2014,06E,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,249,265,5,2,521
ALAMANCE,11/04/2014,01,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,255,171,10,1,437
ALAMANCE,11/04/2014,03N2,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,145,40,89,0,274
ALAMANCE,11/04/2014,03W,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,355,218,10,0,583
ALAMANCE,11/04/2014,06W,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,139,75,5,2,221
ALAMANCE,11/04/2014,08N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,343,175,15,0,533
ALAMANCE,11/04/2014,08S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,186,72,5,0,263
ALAMANCE,11/04/2014,11,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,403,441,25,0,869
ALAMANCE,11/04/2014,12W,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,369,262,9,1,641
ALAMANCE,11/04/2014,09S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,508,342,16,2,868
ALAMANCE,11/04/2014,10N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,391,395,10,0,796
ALAMANCE,11/04/2014,128,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,216,190,15,1,422
ALAMANCE,11/04/2014,02,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,368,251,12,0,631
ALAMANCE,11/04/2014,035,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,345,259,21,1,626
ALAMANCE,11/04/2014,05,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,255,176,13,0,444
ALAMANCE,11/04/2014,ONESTOP,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,0,0,0,0,0
ALAMANCE,11/04/2014,03N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,375,369,59,0,803
ALAMANCE,11/04/2014,03S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Pat Nadolski,DEM,1,490,652,36,3,1181
ALAMANCE,11/04/2014,06W,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,101,53,7,0,161
ALAMANCE,11/04/2014,08N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,432,168,18,2,620
ALAMANCE,11/04/2014,08S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,302,80,14,0,396
ALAMANCE,11/04/2014,13,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,337,135,16,0,488
ALAMANCE,11/04/2014,127,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,198,154,10,0,362
ALAMANCE,11/04/2014,125,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,276,202,18,0,496
ALAMANCE,11/04/2014,12E,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,101,72,3,0,176
ALAMANCE,11/04/2014,09S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,524,346,27,1,898
ALAMANCE,11/04/2014,103,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,299,362,18,3,682
ALAMANCE,11/04/2014,1210,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,182,126,14,0,322
ALAMANCE,11/04/2014,035,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,468,267,26,0,761
ALAMANCE,11/04/2014,10S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,550,545,30,1,1126
ALAMANCE,11/04/2014,126,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,286,193,41,0,520
ALAMANCE,11/04/2014,03N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,348,291,36,0,675
ALAMANCE,11/04/2014,03S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,586,514,60,1,1161
ALAMANCE,11/04/2014,129,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,238,196,22,1,457
ALAMANCE,11/04/2014,064,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,477,439,40,0,956
ALAMANCE,11/04/2014,11,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,229,217,11,0,457
ALAMANCE,11/04/2014,12N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,105,86,6,0,197
ALAMANCE,11/04/2014,124,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,229,165,9,0,403
ALAMANCE,11/04/2014,09N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,291,119,9,0,419
ALAMANCE,11/04/2014,03C,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,325,286,41,0,652
ALAMANCE,11/04/2014,12S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,61,38,2,0,101
ALAMANCE,11/04/2014,ABSENTEE BY MAIL,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,128,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,87,96,4,0,187
ALAMANCE,11/04/2014,063,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,190,129,12,0,331
ALAMANCE,11/04/2014,01,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,634,311,37,3,985
ALAMANCE,11/04/2014,ONESTOP,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,05,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,459,211,25,0,695
ALAMANCE,11/04/2014,06N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,136,87,7,0,230
ALAMANCE,11/04/2014,06S,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,321,245,25,0,591
ALAMANCE,11/04/2014,02,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,598,345,34,0,977
ALAMANCE,11/04/2014,07,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,514,295,24,0,833
ALAMANCE,11/04/2014,12W,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,203,120,13,0,336
ALAMANCE,11/04/2014,PROVISIONAL,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,04,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,726,327,42,0,1095
ALAMANCE,11/04/2014,06E,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,194,170,12,0,376
ALAMANCE,11/04/2014,10N,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,456,364,14,1,835
ALAMANCE,11/04/2014,03N2,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,170,19,4,0,193
ALAMANCE,11/04/2014,03W,1056,S,DISTRICT ATTORNEY DISTRICT 15A,Robert (Rob) Sharpe,REP,1,388,188,13,0,589
ALAMANCE,11/04/2014,03S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,797,771,79,1,1648
ALAMANCE,11/04/2014,064,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,668,663,56,1,1388
ALAMANCE,11/04/2014,03N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,512,436,70,0,1018
ALAMANCE,11/04/2014,12S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,112,59,2,0,173
ALAMANCE,11/04/2014,09S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,739,446,37,1,1223
ALAMANCE,11/04/2014,035,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,639,381,33,0,1053
ALAMANCE,11/04/2014,04,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,947,428,50,0,1425
ALAMANCE,11/04/2014,07,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,664,402,33,0,1099
ALAMANCE,11/04/2014,01,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,742,378,42,4,1166
ALAMANCE,11/04/2014,03C,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,530,489,60,0,1079
ALAMANCE,11/04/2014,09N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,402,200,8,0,610
ALAMANCE,11/04/2014,12W,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,363,199,14,0,576
ALAMANCE,11/04/2014,03N2,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,222,29,11,0,262
ALAMANCE,11/04/2014,11,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,345,328,26,0,699
ALAMANCE,11/04/2014,128,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,150,148,9,0,307
ALAMANCE,11/04/2014,ABSENTEE BY MAIL,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,05,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,630,300,29,0,959
ALAMANCE,11/04/2014,02,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,826,485,39,0,1350
ALAMANCE,11/04/2014,103,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,389,463,21,3,876
ALAMANCE,11/04/2014,1210,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,281,187,15,0,483
ALAMANCE,11/04/2014,125,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,369,283,24,1,677
ALAMANCE,11/04/2014,127,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,343,211,12,0,566
ALAMANCE,11/04/2014,ONESTOP,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,10S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,807,812,45,1,1665
ALAMANCE,11/04/2014,063,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,288,195,20,0,503
ALAMANCE,11/04/2014,13,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,520,235,16,1,772
ALAMANCE,11/04/2014,06N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,199,146,11,0,356
ALAMANCE,11/04/2014,06S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,450,362,36,0,848
ALAMANCE,11/04/2014,06W,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,159,75,9,0,243
ALAMANCE,11/04/2014,10N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,634,500,16,1,1151
ALAMANCE,11/04/2014,08N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,570,224,20,2,816
ALAMANCE,11/04/2014,08S,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,391,97,16,0,504
ALAMANCE,11/04/2014,126,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,420,328,42,0,790
ALAMANCE,11/04/2014,124,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,356,242,13,0,611
ALAMANCE,11/04/2014,129,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,331,249,35,1,616
ALAMANCE,11/04/2014,PROVISIONAL,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,0,0,0,0,0
ALAMANCE,11/04/2014,12N,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,223,142,12,0,377
ALAMANCE,11/04/2014,06E,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,299,253,13,1,566
ALAMANCE,11/04/2014,12E,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,144,105,9,0,258
ALAMANCE,11/04/2014,03W,1082,S,NC STATE SENATE DISTRICT 24,Rick Gunn,REP,1,563,290,16,0,869
